Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Africa,Ghana,139,0.579,61.5,6.9,3839,62.5,60.5,5.8,7.9,3200,4484,10.9,51.8,68.5,27.39999962,4.1,15.80000019,0.9,20.6,42.8,61.6,36,1,2.1,72.1,77,6.3,84,23.5
Africa,Gambia,173,0.452,60.5,3.3,1541,61.9,59.1,2.6,4.2,1296,1790,9.4,25.3,39.1,2,0.4,1,0,16.8,47.9,68.9,18,0.4,5,54,77.3,30.1,180,17.1
Africa,Botswana,108,0.698,64.5,9.2,14663,66.9,62.2,9.2,9.5,13278,16050,9.5,85.1,86.7,2.299999952,0.3,1.5,0.1,24.2,34.8,43.6,28,3.4,3.2,63,77.4,18.6,84,27.5
Asia,Laos,138,0.586,66.6,5.2,5049,68,65.2,4.5,5.6,4408,5696,25,30.4,42.8,6.800000191,0.8,4.199999809,0.3,21.9,50.7,66.7,55,1.8,0.9,76.1,77.4,1.6,105,18.2
Africa,Central African Rep.,188,0.352,51.5,4.2,587,53.4,49.5,2.8,5.7,482,696,12.5,12.3,29.8,4.900000095,0.7,2.799999952,0.2,20,91.5,130.1,48,0.5,2.1,72.1,78,7.6,98,4.6
Asia,Myanmar,145,0.556,66.1,4.7,4943,68.2,64,4.9,4.9,4182,5740,13,27.1,20,53.90000153,4.6,36.20000076,2.9,27.9,39.5,50,53,6.1,1,74.3,78,4.7,98,21.8
Asia,Vietnam,115,0.683,75.9,8,5335,80.6,71.2,7.9,8.2,4834,5846,24.3,64,76.7,93.40000153,7.7,65.59999847,6.3,30.4,17.3,21.7,18,11.9,3.8,76.7,78.3,2.1,180,52.7
Africa,Mozambique,181,0.418,55.5,3.5,1098,56.8,54,2.5,4.6,1016,1184,39.6,2.8,8,28,4.8,14.39999962,0.9,17.1,56.7,78.5,67,0.4,3.9,61.5,79.1,22.3,60,9
Asia,North Korea,,,70.5,,,73.9,66.9,,,,,16.3,,,25.20000076,1.7,17.39999962,2.4,33.9,19.7,24.9,20,32.9,,74.2,79.5,6.7,,
Asia,United Arab Emirates,42,0.84,77.1,9.5,66203,78.7,76.5,10.6,8.7,27257,80420,22.5,77.4,64.5,9.199999809,0.5,7.800000191,0.1,33.3,5.9,6.8,0.3,25.3,2.6,77.1,80.1,3.7,45,91.2
Asia,Cambodia,143,0.563,68.8,4.7,3095,70.8,66.7,3.7,5.5,2650,3563,19,13.2,26.1,15.60000038,1.8,10,0.6,23.9,24.6,28.7,58,1.7,1.3,80.5,80.9,0.5,90,19
Africa,Togo,166,0.487,60.2,4.7,1262,60.9,59.4,3.2,6.3,1116,1412,17.6,23.1,36.1,7.300000191,1.2,4,0.2,18.7,52.3,78.4,8.8,0.5,2,74.6,80.9,7.7,98,7.1
Africa,Malawi,170,0.476,63.9,4.4,1073,64.8,62.9,3.8,5,972,1175,16.7,14.9,24.2,17.20000076,3,8.800000191,0.6,17.2,43.4,64,17,0.2,6,75.5,81,6.7,56,9.3
Africa,Eq. Guinea,135,0.592,57.9,5.5,21517,59.4,56.6,4,7.3,17462,25375,19.7,,,0.800000012,0.1,0.5,0,20.5,68.2,94.1,6.6,3,2.9,74.3,82,9.4,84,21.3
Africa,Guinea,183,0.414,59.2,2.6,1058,59.7,58.7,1.5,3.9,848,1267,21.9,,,12.60000038,2,6.900000095,0.4,18.5,61,93.7,29,1,2.7,80.9,82.3,1.8,98,4.7
Africa,Zimbabwe,154,0.516,59.2,7.7,1588,60.7,57.7,7.3,8.2,1360,1822,35.1,51.9,64.7,15.60000038,2.5,8.699999809,0.5,18.9,46.6,70.7,15,0.8,2.5,74.7,82.4,9.3,98,16.4
Africa,Ethiopia,174,0.448,64.6,2.6,1523,66.6,62.7,1.5,3.7,1161,1886,37.3,10.8,20.7,99.40000153,14.6,54.70000076,3.5,18.6,41.4,59.2,33,0.2,2.9,78.4,83,5.5,90,11.6
Asia,Nepal,144,0.558,70,4.1,2337,71.5,68.6,3.2,5,1979,2718,29.5,24.1,41.2,28.5,2.8,17.60000038,1.6,23.1,29.4,35.8,17,2.1,2.3,80.5,83,3.1,52,17.6
Africa,Burkina Faso,185,0.402,59,1.4,1537,60.3,57.6,1,2,1278,1800,9.4,6,11.5,18.10000038,3.1,9.399999619,0.4,17,60.9,88.6,9.1,0.5,2.6,81.1,83.5,2.9,98,11.4
Africa,Burundi,184,0.404,57.1,3,691,59.2,55.1,2.6,3.6,632,752,37.8,7.1,9.6,11.19999981,2.1,5.900000095,0.3,17.6,54.1,81.7,23,0.3,4,82.4,83.7,1.5,84,4.9
Africa,Eritrea,179,0.42,64.2,3.9,1490,66.3,62,,,1286,1693,22,,,5.199999809,0.8,2.900000095,0.1,18.6,34.1,46.5,14,0.5,1.5,76.9,83.9,8.4,60,1.1
Asia,Qatar,33,0.856,78.3,9.8,129916,80.1,77.5,10.9,9.5,50324,159897,0,70.9,67.8,2.200000048,0.1,1.899999976,0,30.7,6.8,8,0.2,77.4,1.9,84.4,84.6,0.2,50,92.9
Africa,Rwanda,159,0.498,64.7,3.8,1617,67.4,61.8,3.3,4.4,1428,1822,57.5,10.5,16.4,11.60000038,1.7,6.5,0.3,19.2,31.1,41.7,6.4,0.6,2.9,82.9,84.9,2.4,84,18
Africa,Uganda,163,0.493,59.2,5.7,1670,61.1,57.3,4.5,6.8,1266,2075,35,25.9,32.1,39,7.3,19.29999924,1,15.9,37.7,54.6,12,1.2,1.8,81.9,85,3.6,84,19.2
Africa,Madagascar,158,0.512,65.5,6.1,1320,67,64,6.7,6.1,1091,1549,20.5,,,24.20000076,3.8,13.39999962,0.7,18.7,35.9,49.6,51,1.6,1.5,84.6,86.4,2.2,98,4.2
North America,Antigua and Barbuda,62,0.786,76.2,9.2,20907,78.6,73.7,,,,,25.7,,,0.100000002,0,0.100000002,0,30.9,5.8,8.1,3.8,,3.8,,,,91,65.2
North America,Dominican Rep.,96,0.726,77.9,7.9,10096,,,,,,,21.9,,,0.100000002,,,,,19.6,21.2,2.7,15.9,3.8,,,,84,67.6
North America,Grenada,79,0.754,73.6,8.6,11502,76,71.1,,,,,25,,,0.100000002,0,0.100000002,0,27.2,10.8,11.8,0.4,6.6,2.8,,,,90,53.8
Oceania,Kiribati,137,0.588,66.2,7.8,2475,69.5,63,,,,,8.7,,,0.100000002,0,0.100000002,0,22.4,43.6,55.9,49,3.8,8.3,,,,84,13
Oceania,Micronesia,127,0.638,69.3,9.7,3291,70.3,68.2,,,,,0,,,0.100000002,0,0.100000002,0,21.5,28.6,34.7,16,1.8,12.4,,,,,31.5
Africa,Seychelles,63,0.782,73.3,9.4,23886,78.2,69.1,,,,,43.8,,,0.100000002,0,0.100000002,0,32.6,11.7,13.6,0,10.7,3.1,,,,98,58.1
