Continent,Country,HDIRank,HDI,Life Expectancy,Mean Years of Schooling,Gross national income (GNI) per capita,Life Expectancy At Birth Female,Life Expectancy At Birth Male,Mean Years Of Schooling Female,Mean Years Of Schooling Male,Estimated Gross Nationa Income Per CapitaFemale,Estimated Gross Nationa Income Per Capita Male,Share Of Seats In Parliament Women,Population Secondary Education Female,Population Secondary Education Male,Total Population,Population Under Age 5,Population Age 15-64,Population Ages 65 and older (millions) 2015,Population Median Age,Mortality Rates Infant,Mortality Rates Under-five,Deaths Due To Tuberculosis,Physicians,Public Health Expenditure,Employment To Population Ratio,Labour Force Participation Rate,Total Unemployment,Mandatory Paid Maternity Leave ,Internet Users
Asia,Uzbekistan,105,0.701,69.4,12,5748,71.9,65.1,11.8,12.3,3891,7668,16.4,99.9,99.9,29.89999962,3.2,20,1.4,26.3,33.9,39.1,9.1,25.3,3.1,55.6,61.8,10.1,126,42.8
Europe,Estonia,30,0.865,77,12.5,26362,81.4,72.2,13,12.2,21976,31347,23.8,100,100,1.299999952,0.1,0.899999976,0.2,41.7,2.3,2.9,2.1,32.4,5,58.2,61.9,5.9,140,88.4
Europe,Denmark,5,0.925,80.4,12.7,44519,82.3,78.5,12.6,12.9,36857,52293,37.4,89.1,98.5,5.699999809,0.3,3.599999905,1.1,41.6,2.9,3.5,0.4,34.9,9.2,58.1,62,6.3,126,96.3
Asia,Turkmenistan,111,0.691,65.7,9.9,14026,70,61.6,,,9359,18856,25.8,,,5.400000095,0.5,3.599999905,0.2,26.4,43.7,51.4,3.4,23.9,1.3,55.8,62,10,,15
North America,United States of America,10,0.92,79.2,13.2,53245,81.6,76.9,13.2,13.2,42272,64410,19.5,95.4,95.1,321.7999878,19.7,213.1999969,47.6,38,5.6,6.5,0.1,24.5,8.3,58.8,62.1,5.3,,74.6
Asia,Bangladesh,139,0.579,72,5.2,3341,73.3,70.7,5,5.6,2379,4285,20,42,44.3,161,15.3,105.5999985,8,25.6,30.7,37.6,51,3.6,0.8,59.4,62.2,4.4,112,14.4
North America,Mexico,77,0.762,77,8.6,16383,79.4,74.6,8.2,8.6,10710,22115,40.6,56.1,59,127,11.6,83.69999695,8.2,27.4,11.3,13.2,1.7,21,3.3,59.5,62.2,4.3,84,57.4
South America,Chile,38,0.847,82,9.9,21665,84.7,79,9.8,10,14955,28556,15.8,76.1,76.9,17.89999962,1.2,12.39999962,2,34.4,7,8.1,1.6,10.3,3.9,58.4,62.4,6.4,126,64.3
Asia,Mongolia,92,0.735,69.8,9.8,10449,74.2,65.6,10,9.5,8809,12122,14.5,89.7,85.8,3,0.3,2,0.1,27.3,19,22.4,2.2,28.4,2.6,58.1,62.5,7.1,120,21.4
Europe,United Kingdom,16,0.909,80.8,13.3,37931,82.7,78.9,13.2,13.4,26324,49872,26.7,81.3,84.6,64.69999695,4.1,41.70000076,11.5,40,3.5,4.2,0.5,28.1,7.6,59.3,62.7,5.5,14,92
North America,El Salvador,117,0.68,73.3,6.5,7732,77.7,68.6,6.2,6.9,5386,10385,32.1,39.4,44.8,6.099999905,0.5,4,0.5,26.7,14.4,16.8,1.9,16,4.5,58.7,62.8,6.4,84,26.9
Asia,Kyrgyzstan,120,0.664,70.8,10.8,3097,74.8,66.8,10.9,10.7,2123,4090,19.2,100,99.9,5.900000095,0.8,3.799999952,0.3,25.1,19,21.3,11,19.7,3.6,57.7,62.9,8.2,126,30.2
North America,Trinidad and Tobago,65,0.78,70.5,10.9,28049,74.2,67.1,10.8,11,21104,35179,31.5,70.6,68.4,1.399999976,0.1,0.899999976,0.1,33.8,18.2,20.4,2,11.8,3.2,60.5,62.9,3.8,98,69.2
Oceania,Tonga,101,0.721,73,11.1,5284,76,70.1,11,11.1,3959,6602,0,91.2,91.1,0.100000002,0,0.100000002,0,21.3,14.4,16.7,2.1,5.6,4.3,60,63.2,5.2,0,45
Asia,Armenia,84,0.743,74.9,11.3,8189,78.7,71.1,11.3,11.3,5535,11258,10.7,98.5,98.1,3,0.2,2.099999905,0.3,34.6,12.6,14.1,4.7,27,1.9,53,63.3,16.3,140,58.2
Asia,Malaysia,59,0.789,74.9,10.1,24620,77.3,72.6,10,10.8,17170,32208,13.2,75.4,79.1,30.29999924,2.5,21.10000038,1.8,28.5,6,7,8,12,2.3,61.5,63.3,2.9,60,71.1
Asia,Brunei,30,0.865,79,9,72843,80.9,77.2,9,9.1,55402,89256,,67.7,69.6,0.400000006,0,0.300000012,0,30.6,8.6,10.2,3.6,14.4,2.5,62.3,63.5,1.9,91,71.2
Europe,Russia,49,0.804,70.3,12,23286,75.9,64.6,12,12.1,17868,29531,14.5,94.6,94.7,143.5,9.2,100.3000031,19.2,38.7,8.2,9.6,11,43.1,3.7,59.8,63.5,5.8,140,73.4
Europe,Netherlands,7,0.924,81.7,11.9,46326,83.5,79.9,11.6,12.2,30117,62773,36.4,86.2,90.3,16.89999962,0.9,11,3.1,42.7,3.2,3.8,0.1,28.6,9.5,59.9,63.8,6.1,112,93.1
Asia,Cyprus,33,0.856,80.3,11.7,29459,82.6,78.2,11.6,11.9,23450,35227,12.5,77,82.7,1.200000048,0.1,0.800000012,0.1,35.9,2.5,2.7,0.4,23.3,3.3,53.9,63.9,15.6,126,71.7
Asia,Israel,19,0.899,82.6,12.8,31215,84.2,80.8,12.8,12.7,23323,39239,26.7,87.3,90.3,8.100000382,0.8,4.900000095,0.9,30.3,3.2,4,0.2,33.4,4.8,60.8,64,5,98,78.9
South America,Ecuador,89,0.739,76.1,8.3,10536,78.9,73.4,8.2,8.4,8278,12795,41.6,48.2,49.4,16.10000038,1.6,10.39999962,1.1,26.6,18.4,21.6,2.9,17.2,4.5,61.4,64.2,4.3,84,48.9
North America,Nicaragua,124,0.645,75.2,6.5,4747,78.2,72.2,6.8,6.4,3150,6389,41.3,45.7,44.1,6.099999905,0.6,3.900000095,0.3,25.2,18.8,22.1,3.4,9,5.1,60.4,64.2,6,84,19.7
Europe,Sweden,14,0.913,82.3,12.3,46251,84,80.6,12.4,12.2,40328,52181,43.6,87.8,88.3,9.800000191,0.6,6.099999905,1.9,41,2.4,3,0.3,39.3,10,59.8,64.5,7.4,,90.6
Oceania,Australia,2,0.939,82.5,13.2,42822,84.6,80.5,13.4,13,34271,51386,30.5,91.4,91.5,24,1.5,15.89999962,3.6,37.5,3,3.8,0.2,32.7,6.3,60.7,64.7,6.3,,84.6
